#*************************************************************************
#*************************************************************************
#   STATISTICS FROM DNS OF TURBULENT CHANNEL FLOW AT RETAU = 999

# References:

# M. Bernardini, S. Pirozzoli, P. Orlandi, "Velocity statistics in turbulent
# channel flow up to Retau=4000" Journal of Fluid Mechanics Volume 742, March 2014, Pages 171-191

#*************************************************************************
#*************************************************************************
#*
#* Date of file: January 07, 2014
#*
# ***********************************
# Wall-normal profiles:
# ***********************************

#        y                y+              U+              u'+             v'+             w'+            u'v'+           omx+'           omz'+          omy'+ 
0.4410379E+00   0.4404825E+03   0.2029627E+02   0.1488055E+01   0.9011192E+00   0.1027167E+01  -0.5475490E+00   0.3743996E-01   0.3512434E-01   0.3508758E-01
0.4478403E+00   0.4472763E+03   0.2034330E+02   0.1478777E+01   0.8969158E+00   0.1021264E+01  -0.5409032E+00   0.3702587E-01   0.3474955E-01   0.3470561E-01
0.4546796E+00   0.4541070E+03   0.2038993E+02   0.1469436E+01   0.8926653E+00   0.1015343E+01  -0.5342221E+00   0.3661383E-01   0.3438351E-01   0.3432789E-01
0.4615554E+00   0.4609741E+03   0.2043619E+02   0.1460027E+01   0.8883682E+00   0.1009354E+01  -0.5274836E+00   0.3620603E-01   0.3401406E-01   0.3395433E-01
0.4684673E+00   0.4678773E+03   0.2048207E+02   0.1450536E+01   0.8840289E+00   0.1003227E+01  -0.5206956E+00   0.3581135E-01   0.3365098E-01   0.3358581E-01
0.4754148E+00   0.4748160E+03   0.2052759E+02   0.1440985E+01   0.8796489E+00   0.9969860E+00  -0.5138766E+00   0.3542356E-01   0.3329492E-01   0.3322298E-01
0.4823973E+00   0.4817898E+03   0.2057278E+02   0.1431405E+01   0.8752243E+00   0.9906688E+00  -0.5070162E+00   0.3503482E-01   0.3294771E-01   0.3286480E-01
0.4894145E+00   0.4887981E+03   0.2061764E+02   0.1421819E+01   0.8707492E+00   0.9843128E+00  -0.5001198E+00   0.3464707E-01   0.3259804E-01   0.3250977E-01
0.4964659E+00   0.4958406E+03   0.2066213E+02   0.1412224E+01   0.8662211E+00   0.9779518E+00  -0.4932002E+00   0.3425543E-01   0.3224653E-01   0.3215699E-01
0.5035509E+00   0.5029167E+03   0.2070627E+02   0.1402591E+01   0.8616460E+00   0.9715769E+00  -0.4862459E+00   0.3386644E-01   0.3189540E-01   0.3180650E-01
0.5106692E+00   0.5100261E+03   0.2075003E+02   0.1392915E+01   0.8570353E+00   0.9651774E+00  -0.4792439E+00   0.3349173E-01   0.3154814E-01   0.3145992E-01
0.5178204E+00   0.5171682E+03   0.2079343E+02   0.1383205E+01   0.8523988E+00   0.9587607E+00  -0.4721893E+00   0.3311691E-01   0.3121504E-01   0.3111659E-01
0.5250037E+00   0.5243425E+03   0.2083647E+02   0.1373466E+01   0.8477442E+00   0.9523080E+00  -0.4650784E+00   0.3273773E-01   0.3088556E-01   0.3077538E-01
0.5322188E+00   0.5315485E+03   0.2087916E+02   0.1363706E+01   0.8430827E+00   0.9457991E+00  -0.4579353E+00   0.3236535E-01   0.3055464E-01   0.3043727E-01
0.5394652E+00   0.5387858E+03   0.2092148E+02   0.1353939E+01   0.8384235E+00   0.9392180E+00  -0.4507856E+00   0.3199628E-01   0.3022347E-01   0.3010277E-01
0.5467424E+00   0.5460538E+03   0.2096342E+02   0.1344160E+01   0.8337690E+00   0.9325553E+00  -0.4436260E+00   0.3163578E-01   0.2989628E-01   0.2977170E-01
0.5540500E+00   0.5533523E+03   0.2100499E+02   0.1334344E+01   0.8291108E+00   0.9258710E+00  -0.4364499E+00   0.3128882E-01   0.2957999E-01   0.2944290E-01
0.5613875E+00   0.5606805E+03   0.2104622E+02   0.1324484E+01   0.8244359E+00   0.9192291E+00  -0.4292428E+00   0.3094170E-01   0.2926550E-01   0.2911675E-01
0.5687543E+00   0.5680380E+03   0.2108711E+02   0.1314587E+01   0.8197401E+00   0.9126264E+00  -0.4220024E+00   0.3058664E-01   0.2895444E-01   0.2879410E-01
0.5761499E+00   0.5754243E+03   0.2112766E+02   0.1304649E+01   0.8150245E+00   0.9060478E+00  -0.4147282E+00   0.3023815E-01   0.2864893E-01   0.2847468E-01
